"mcp_code","mcp_name","province","region","year","month","mean_monthly","total_monthly"
11040,"Schoten","Antwerpen","Flanders",2021,7,3.93548387096774,122
11040,"Schoten","Antwerpen","Flanders",2021,8,4.29032258064516,133
11040,"Schoten","Antwerpen","Flanders",2021,9,2.83333333333333,85
11040,"Schoten","Antwerpen","Flanders",2021,10,11.0967741935484,344
11040,"Schoten","Antwerpen","Flanders",2021,11,36.1666666666667,1085
11040,"Schoten","Antwerpen","Flanders",2021,12,24.8387096774194,770
11040,"Schoten","Antwerpen","Flanders",2022,1,92.4516129032258,2866
11044,"Stabroek","Antwerpen","Flanders",2020,9,1.3,39
11044,"Stabroek","Antwerpen","Flanders",2020,10,9.51612903225806,295
11044,"Stabroek","Antwerpen","Flanders",2020,11,5.7,171
